Depth,Age,AchSp2,AchSub,AmpAcu,AmpSub,AmpGal3,AmpCar,AmpCof,AmpCoS,AmpMic,AmpPse,AmpSp7,AnoSph,CalSp2,CamCly,ChaSp1,Cra1,DipSp2,Falpse,FracSu,PseGeo,FraSop,FraSp5,FraSp1,FraS2b,FraSp4,FraSp6,PseDia,HyaHus,SynIsa,MasBra,MasLan,NavAtw,NavDar,NavLag,NavGal,NavIsm,NavWil,NavSp1,NavSp2,NavSp3,NavIsd,NavIsf,NitAmp,NitcVa,NitVit,NitCom,NitCon,NitFru,NitMic,NitNan,NitPal,NitSp7,ParSul,ParSp1,ParS1b,PlaAto,RhoSp5,SemPus,StaPun,UnkSp1,Ti,d13C
227,1314.663031,0,0.0078,0.2205,0,0,0,0,0,0,0.0031,0.0248,0,0,0.0031,0,0,0,0,0.0373,0.0124,0,0,0,0,0,0,0,0,0,0,0,0.146,0,0,0.1863,0,0,0.0373,0,0,0,0,0.0202,0.0062,0,0,0,0.0466,0.028,0,0.1211,0,0,0,0,0,0.0062,0,0,0,0.588571714,-24.96423682
231,1334.148535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179899471,-26.29131006
235,1354.025074,0,0.0255,0.0613,0,0,0.0307,0,0,0,0.023,0,0.0613,0,0.0562,0,0,0,0,0.3831,0.0434,0,0.0077,0,0,0,0,0,0,0,0.0026,0,0.0409,0,0,0.1175,0,0,0.0026,0,0,0,0,0,0,0,0.0102,0,0.023,0.0153,0.0102,0.0166,0.0026,0,0,0,0.0077,0,0,0.0255,0.0051,0.370240747,-24.75832432
239,1374.333893,0,0.0338,0.065,0,0,0.0104,0,0,0,0.0078,0,0.0247,0.0078,0.0273,0,0,0.0026,0,0.3771,0.1196,0.0026,0,0.0026,0,0,0,0.0039,0,0,0,0,0.0104,0,0,0.1326,0,0,0,0,0,0,0,0,0,0,0.0026,0,0.0364,0.0234,0,0.0286,0,0,0,0,0,0.0026,0.0364,0.0234,0,0.443918273,-23.89461393
243,1395.108629,0,0,0.068,0.0028,0,0.0368,0,0,0,0.0113,0,0.068,0,0.2535,0,0,0,0,0.2663,0.0227,0,0,0,0,0,0,0,0,0,0,0,0,0.0028,0,0.0822,0,0,0,0,0,0,0.0028,0.0297,0,0,0.0085,0,0.017,0.0397,0,0.0255,0,0,0,0,0,0.0085,0.0425,0,0,0.828169993,-17.13069344
247,1416.316498,0,0.0028,0.0468,0.0165,0,0.0138,0,0,0,0.0138,0,0.0331,0,0.0165,0,0,0,0,0.5289,0.0028,0,0,0,0,0,0.0165,0,0,0,0,0,0.0523,0,0,0.0937,0,0,0,0,0.0028,0,0,0.0551,0,0,0,0,0.0275,0.0165,0,0.011,0,0,0,0,0,0.0055,0.0138,0.0028,0,0.861638687,-17.67834651
251,1437.890479,0,0.0029,0.1566,0,0,0.0203,0,0,0,0,0.0029,0.0116,0,7.00E-04,0,0,0,0,0.087,0.0058,0,0,0,0,0,0.0116,0,0,0,0,0,0.0145,0,0,0.3742,0.0029,0,0,0,0,0,0,0.0261,0,0,0.016,0,0.0812,0.0319,0,0.1073,0,0,0,0,0,0.0029,0.0145,0,0,1.419981278,-22.85252017
255,1459.763283,0,0.0315,0.1574,0,0,0.0189,0,0,0,0.0063,0,0.0047,0,8.00E-04,0,0,0,0,0.0441,0.0504,0,0,0,0,0,0.0126,0.0094,0,0,0,0,0.0283,0.0031,0,0.321,0.0472,0,0,0,0,0,0,0.0094,0,0.0031,0.0157,0,0.085,0.022,0,0.0928,0,0,0,0,0,0,0.022,0.0063,0,2.113558776,-23.26865684
259,1481.867617,0.0029,0.1748,0,0,0.0086,0.0229,0,0,0.0029,0.0086,0.0029,0.0029,0,0,0,0,0,0,0.2292,0.0802,0,0,0,0,0,0.0229,0.0143,0,0,0.0029,0,0.043,0,0,0.1117,0.0115,0,0.0029,0.106,0.0029,0,0,0.0086,0,0,0.0057,0,0.0201,0.0115,0,0.0172,0,0,0.0029,0,0.0057,0.0143,0,0.0086,0,3.418584265,-23.41680155
263,1504.136185,0,0.1762,0.0461,0,0.0352,0.0108,0.0027,0,0,0.0054,0.0027,0.0027,0,0.0054,0,0,0,0,0.271,0.0298,0,0,0,0,0,0.0027,0.0244,0,0,0.0081,0,0.0867,0.0054,0,0.0678,0,0,0.0379,0.0136,0.0027,0,0,0.0108,0,0.0054,0.0136,0,0.0163,0.0271,0.0014,0.0108,0,0,0.0054,0,0,0.0217,0,0.019,0,6.570792566,-22.83970148
